id,emotion,sentiment,text
593891099434983425,Angry,Negative,KirkKus: Indirect cost of the UK being in the EU is estimated to be costing Britain £170 billion per year! BetterOffOut UKIP
593891099548094465,Excited,Positive,VIDEO: Sturgeon on post-election deals 
593891099388846080,Fear,Negative,LabourEoin: The economy was growing 3 times faster on the day David Cameron became Prime Minister than it is today.. BBCqt 
593891100429045760,Fear,Negative,GregLauder: the UKIP east lothian candidate looks about 16 and still has an msn addy 
593891100768784384,Excited,Positive,thesundaypeople: UKIP's housing spokesman rakes in £800k in housing benefit from migrants.   
593891100982546432,Excited,Positive,Nigel_Farage: Make sure you tune in to AskNigelFarage tonight on BBC 1 at 22:50! UKIP 
593891101154619392,Happy,Neutral,joannetallis: Ed Milliband is an embarrassment. Would you want him representing the UK?!  bbcqt vote Conservatives
593891101452476416,Excited,Neutral,"abstex: The FT is backing the Tories. On an unrelated note, here's a photo of FT leader writer Jonathan Ford (next to Boris) "
593891101838340096,Bored,Neutral,NivenJ1: “George_Osborne: Ed Miliband proved tonight why he's not up to the job” Tbf you've spent 5 years doing that you salivating do
593891101313896449,Excited,Negative,LOLZ to Trickle Down Wealth. It's never trickling past their own wallets. Greed always wins $$$ for the greedy.  
593891101766918144,Fear,Positive,SNP leader faces audience questions 
593891101959917568,Sad,Negative,"cononeilluk: Cameron ""Ed Milliband hanging out with Russell Brand. He is a joke. This is an election. This is about real people' http:/"
593891102257713152,Sad,Negative,politicshome: Ed Miliband: Last Labour government did not overspend  
593891102480007169,Angry,Negative,"If Miliband is refusing to do any deal with the SNP, how does he plan on forming a government?"
593891103100776448,Sad,Negative,scotnotbritt: Well thats it. LABOUR would rather have a TORY government rather than work with the SNP. 
593891103184551936,Excited,Positive,Cameron wins last TV contest of election campaign - poll: LONDON (Reuters) - Prime Minister David Cameron won the 
593891102836563969,Excited,Neutral,"stephen501: dunleavy138 CrillyBobc theSNP UKLabour I would be happy to do a deal with the SNP, but Ed_Miliband was clear. If you w"
593891102895296512,Angry,Negative,"How dare EdMiliband_MP force Socialists to chose between the English LP and the SNP! The SNP are the last, true Socialist party in the UK"
593891103272665088,Excited,Positive,Watch: Ed Miliband trips off the stage following Question Time leaders special 
593891104870813699,Angry,Negative,B0MBSKARE the anti-Scottish feeling is largely a product of Tory press scaremongering. In practice most people won't give a toss!
593891105457897472,Happy,Neutral,"Miliband stumbles, Cameron dodges "
593891105935994880,Fear,Neutral,Miliband - I'd pass on PM job rather than do deal with Scots nationalists: LONDON (Reuters) - British Labour Party 
593891106066198529,Angry,Negative,GloriaDePiero: Nick Clegg is just as responsible for this Govt's failing  plan as David Cameron - he's backed the Tories all the  way
593891106590429185,Angry,Negative,mykilmarnock: Will the person who dropped a Vote SNP badge please call at Kilmarnock police station to collect it. 
593891106787631104,Excited,Positive,Markfergusonuk: The Sun’s Twitter worm appears to believe Ed Miliband is winning so far bbcqt 
